;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Total arrivals (in thousands);82 244;87 439;87 817;88 592;89 118;84 515;61 431;50 735;52 130;61 918;64 606;65 115;66 208;59 935;53 840;58 340;60 745;67 390;72 310;73 750;77 743;80 476;83 804;85 946;88 515;51 076;
Overnights visitors (tourists) (in thousands);19 215;19 410;19 520;18 780;17 950;17 400;15 000;13 980;13 720;14 290;15 200;15 670;14 975;12 960;11 890;12 470;13 350;14 840;15 800;16 000;16 728;17 471;18 258;19 622;21 158;8 418;
Same-day visitors (excursionists) (in thousands);63 029;68 029;68 297;69 812;71 168;67 115;46 431;36 755;38 410;47 628;49 406;49 445;51 233;46 975;41 950;45 870;47 395;52 550;56 510;57 750;61 015;63 005;65 546;66 324;67 357;42 658;
Tourism inbound expenditure in the country (in millions);6 927;8 764;9 053;8 321;6 498;6 128;5 121;4 971;4 733;6 521;7 161;8 153;11 729;12 897;9 888;9 875;11 471;11 704;12 242;12 691;11 164;11 922;14 080;15 699;16 011;8 843;10 136
Travel inbound (in millions);6 614;8 444;8 679;7 946;6 100;5 677;4 646;4 314;4 069;5 855;6 304;7 270;10 641;11 826;9 056;9 414;10 554;10 801;11 154;11 614;10 283;10 847;12 769;13 992;14 003;8 239;9 084
Passenger transport inbound (in millions);313;320;374;375;398;451;475;657;664;666;857;883;1 088;1 071;832;461;917;903;1 088;1 077;881;1 075;1 311;1 707;2 008;604;1 052
Arrivals by main purpose in total (in thousands);19 215;19 410;19 520;18 780;17 950;17 400;15 000;13 980;13 720;14 290;15 200;15 670;14 975;12 960;11 890;12 470;13 350;14 840;15 800;16 000;16 728;17 471;18 258;19 622;21 158;8 418;
Personal (in thousands);15 375;13 050;12 510;13 600;13 430;12 550;10 760;9 930;9 620;10 345;10 960;11 430;10 890;9 170;8 320;9 100;9 590;10 680;11 850;12 724;12 664;13 295;13 730;14 700;16 122;5 952;
Business and professional (in thousands);3 840;6 360;7 010;5 180;4 520;4 850;4 240;4 050;4 100;3 945;4 240;4 240;4 085;3 790;3 570;3 370;3 760;4 160;3 950;3 276;4 064;4 176;4 528;4 922;5 036;2 466;
Average length of stay (nights);2,40;2,50;3,32;3,50;3,48;3,35;1,94;1,88;1,89;1,91;1,93;1,93;1,95;1,93;1,89;1,89;1,82;1,91;1,92;1,91;1,93;1,96;1,95;1,97;2,00;2,00;
TD - Croatia (in thousands);;;;;;;;;;;;;;;;;;;;570323;632334;661302;683762;703409;;431704;491800
TD - Czech (in thousands);;;;;;;;;;;;;;;;;;;;495055;584704;654987;725347;761949;790306;409547;383345
TD - Germany (in thousands);;;;;;;;;;;;;;;;;;;;2060809;2198731;2310056;2356548;2438093;2522945;1603484;1796789
TD - Italy (in thousands);;;;;;;;;;;;;;;;;;;;826608;879011;936111;999935;1055127;1114411;392620;383408
TD - United_King (in thousands);;;;;;;;;;;;;;;;;;;;872396;855532;855532;970504;1031074;1099597;437002;
TD - Greece (in thousands);;;;;;;;;;;;;;;;;;;;;;;;751580;857479;;451497
Total departures (in thousands);36 387;44 713;48 610;49 328;55 097;56 677;53 122;45 043;38 730;37 226;40 841;44 696;47 561;50 243;39 270;42 760;43 270;48 290;52 580;35 400;44 300;44 500;46 700;48 600;50 600;26 906;
Overnights visitors (tourists) (in thousands);;;;;;;;;;;6 200;7 300;6 900;7 600;6 300;7 100;6 300;9 300;10 050;10 300;10 900;11 300;12 000;12 800;13 500;6 200;
Same-day visitors (excursionists) (in thousands);;;;;;;;;;;34 641;37 396;40 661;42 643;32 970;35 660;36 970;38 990;42 530;25 100;33 400;33 200;34 700;35 800;37 100;20 706;
Tourism outbound expenditure in the country (in millions);5 865;6 357;5 855;4 524;3 810;3 417;3 595;3 440;3 286;5 086;5 887;7 645;8 339;10 683;7 883;8 888;8 672;8 911;8 916;9 177;8 285;8 509;9 540;10 492;10 219;5 653;6 089
Travel outbound (in millions);5 500;6 240;5 750;4 430;3 600;3 315;3 496;3 278;3 085;4 769;5 540;7 215;7 751;9 898;7 366;8 358;8 251;8 540;8 605;8 507;7 701;7 876;8 849;9 606;9 278;5 305;5 735
Passenger transport outbound (in millions);365;117;105;94;210;102;99;162;201;317;347;430;588;785;517;530;421;371;311;670;584;633;691;886;941;348;354
Population (in millions);38,59;38,62;38,65;38,66;38,66;38,26;38,25;38,23;38,20;38,18;38,17;38,14;38,12;38,13;38,15;38,04;38,06;38,06;38,04;38,01;37,99;37,97;37,97;37,97;37,97;37,90;37,75
Y15-24 (in thousands);;;;;;;;;;;;;;;;;;4779;4169;3622;3376;3794;4008;4169;4025;2333;2680
Y25-34 (in thousands);;;;;;;;;;;;;;;;;;7606;5380;5130;5520;4956;5529;5806;5175;3976;4825
Y35-44 (in thousands);;;;;;;;;;;;;;;;;;4613;4129;4057;4843;4722;4748;5196;5512;5840;6295
Y45-54 (in thousands);;;;;;;;;;;;;;;;;;3632;3895;3252;3138;3803;4064;4311;4860;4557;4776
Y55-64 (in thousands);;;;;;;;;;;;;;;;;;3311;4114;3864;3902;4764;4665;4538;4752;3013;4115
Y_GE15 (in thousands);;;;;;;;;;;;;;;;;;26600;25493;23363;24237;26527;27966;28934;29987;22598;26679
Y_GE65 (in thousands);;;;;;;;;;;;;;;;;;2660;3807;3438;3458;4487;4952;4914;5664;2880;3988
Female (in thousands);;;;;;;;;;;;;;;;;;12712;12981;12537;13053;14024;14790;15463;15923;11347;13248
Male (in thousands);;;;;;;;;;;;;;;;;;13888;12512;10826;11184;12503;13176;13471;14064;11251;13431